"1800","3418","---","6873","2067"
"1900","3419","---","6874","2067"
"2000","3419","---","6864","2113"
"2100","3418","---","7130","2407"
"2200","3418","---","7047","2439"
"2300","3419","---","6917","2552"
"2400","3420","---","7227","2327"
"2500","3418","---","7129","2408"
"2600","3418","---","6916","2061"
"2700","3419","---","6954","2004"
"2800","3419","---","6911","2011"
"2900","3418","---","6730","2233"
"3000","3418","---","7134","2405"
"3100","3418","---","6962","2571"
"3200","3419","---","6930","2539"
"3300","3420","---","7090","2430"
"3400","3419","---","7143","2365"
"3500","3418","---","6912","2062"
"3600","3419","---","6739","2191"
"3700","3418","---","6865","2112"
"3800","3418","---","7186","2338"
"3900","3418","---","7130","2406"
"4000","3419","---","7186","2354"
"4100","3420","---","7182","2355"
"4200","3418","---","7102","2416"
"4300","3418","---","6956","2037"
"4400","3419","---","6698","2192"
"4500","3419","---","6860","2115"
"4600","3418","---","7185","2338"
"4700","3419","---","7103","2416"
"4800","3418","---","6956","2036"
"4900","3419","---","6950","2006"
"5000","3419","---","6794","2124"
"5100","3418","---","6790","2126"
"5200","3418","---","7104","2401"
"5300","3418","---","7092","2457"
"5400","3418","---","7187","2352"
"5500","3420","---","7130","2407"
"5600","3418","---","6877","2098"
"5700","3418","---","6835","2103"
"5800","3419","---","6826","2165"
"5900","3418","---","7054","2464"
"6000","3418","---","7135","2405"
"6100","3419","---","7134","2405"
"6200","3420","---","7185","2338"
"6300","3418","---","7050","2438"
"6400","3418","---","6859","2115"
"6500","3419","---","6743","2219"
"6600","3418","---","7097","2455"
"6700","3418","---","7278","2255"
"6800","3419","---","7143","2392"
"6900","3420","---","7143","2349"
"7000","3418","---","6781","2139"
"7100","3419","---","6994","1978"
"7200","3419","---","6821","2118"
"7300","3419","---","7047","1918"
"7400","3418","---","7047","2439"
"7500","3418","---","7187","2353"
"7600","3420","---","7187","2352"
"7700","3418","---","6700","2222"
"7800","3419","---","6864","2113"
"7900","3419","---","6873","2099"
"8000","3418","---","7009","2487"
"8100","3418","---","7187","2353"
"8200","3418","---","7102","2416"
"8300","3419","---","7105","2400"
"8400","3420","---","7097","2455"
"8500","3418","---","7000","2525"
"8600","3418","---","6737","2173"
"8700","3419","---","6956","2037"
"8800","3419","---","6780","2170"
"8900","3418","---","6950","2005"
"9000","3418","---","7227","2327"
"9100","3418","---","7134","2405"
"9200","3419","---","7238","2283"
"9300","3420","---","6957","2533"
"9400","3418","---","6916","2060"
"9500","3419","---","6957","2036"
"9600","3419","---","6957","2037"
"9700","3418","---","7097","2455"
"9800","3419","---","7141","2364"
"9900","3420","---","7103","2415"
"9999","3419","---","7013","2486"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","16312","---","22194","3420"
"100","23221","---","27274","1621"
"200","24099","---","29841","3132"
"300","24195","---","31179","3222"
"400","28050","---","34117","2437"
"500","32965","---","36578","1350"
"600","35626","---","39306","1363"
"700","37716","---","41267","1638"
"800","33609","---","42033","2495"
"900","39819","---","43093","1495"
"1000","36524","---","43129","2337"
"1100","40810","---","43641","1397"
"1200","40808","---","43985","1771"
"1300","35302","---","44092","2910"
"1400","39152","---","44260","2335"
"1500","39798","---","44948","1987"
"1600","37900","---","44798","2274"
"1700","34977","---","44240","3357"
"1800","35902","---","44792","3156"
"1900","37987","---","44583","2854"
"2000","36037","---","44752","3313"
"2100","37897","---","45507","2131"
"2200","41265","---","45760","1573"
"2300","42324","---","46135","1123"
"2400","43032","---","45945","1334"
"2500","38002","---","45856","1990"
"2600","43660","---","46143","1014"
"2700","43042","---","45985","1248"
"2800","37171","---","45283","2816"
"2900","41418","---","45875","1517"
"3000","40695","---","45978","1509"
"3100","36646","---","45434","2757"
"3200","36951","---","45400","2879"
"3300","41105","---","45994","1450"
"3400","42296","---","46008","1347"
"3500","37165","---","45552","2423"
"3600","37022","---","45323","2631"
"3700","36124","---","45370","2661"
"3800","42561","---","46036","1166"
"3900","38083","---","45652","2104"
"4000","34823","---","45388","2808"
"4100","33244","---","45313","3066"
"4200","40968","---","45892","1595"
"4300","39074","---","45468","2332"
"4400","40570","---","45827","1852"
"4500","33853","---","45261","3704"
"4600","43834","---","46809","920"
"4700","41781","---","46302","1757"
"4800","44079","---","46849","914"
"4900","42597","---","46813","1143"
"5000","43306","---","46842","1301"
"5100","45592","---","47079","823"
"5200","43303","---","46979","1337"
"5300","44808","---","47104","1002"
"5400","43306","---","46945","1341"
"5500","44041","---","46978","1268"
"5600","44046","---","47059","1118"
"5700","45473","---","47442","1037"
"5800","44281","---","47585","1310"
"5900","43302","---","47463","1556"
"6000","43498","---","47486","1511"
"6100","41906","---","47298","1964"
"6200","43495","---","47648","1417"
"6300","43302","---","47529","1591"
"6400","42720","---","47592","1708"
"6500","44521","---","48048","1203"
"6600","41560","---","47454","2241"
"6700","44607","---","47942","1410"
"6800","45476","---","47977","1295"
"6900","42845","---","47916","1578"
"7000","43306","---","47781","1767"
"7100","44518","---","48024","1395"
"7200","39020","---","47456","2702"
"7300","42619","---","47945","1622"
"7400","45475","---","48089","1287"
"7500","39578","---","47810","2293"
"7600","43132","---","47710","2008"
"7700","44523","---","47972","1467"
"7800","42554","---","47676","2173"
"7900","38733","---","47565","2745"
"8000","43959","---","48030","1516"
"8100","43269","---","47877","1710"
"8200","42768","---","47865","1885"
"8300","42867","---","47790","1953"
"8400","42554","---","47936","1727"
"8500","42555","---","47451","2254"
"8600","39020","---","47509","2568"
"8700","42612","---","48303","1491"
"8800","43269","---","47806","2088"
"8900","39548","---","47607","2814"
"9000","42870","---","48032","1880"
"9100","43500","---","48172","1557"
"9200","43936","---","48112","1610"
"9300","44670","---","48203","1445"
"9400","37978","---","47852","2640"
"9500","43305","---","48086","1766"
"9600","43495","---","48010","1717"
"9700","42622","---","47825","1873"
"9800","38733","---","47836","2357"
"9900","38032","---","47352","3244"
"9999","44687","---","48248","1310"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","13246","---","19728","3631"
"100","6461","---","14385","3305"
"200","5925","---","12033","3141"
"300","5925","---","13903","4604"
"400","5925","---","11896","3707"
"500","5924","---","11239","3599"
"600","5925","---","10665","3316"
"700","5924","---","11925","3674"
"800","5926","---","11443","3150"
"900","5925","---","11429","3716"
"1000","5923","---","10049","3057"
"1100","5926","---","11239","3953"
"1200","5925","---","10344","3208"
"1300","5924","---","11694","3875"
"1400","5924","---","9729","2668"
"1500","5925","---","11605","3705"
"1600","5924","---","10656","3033"
"1700","5926","---","11583","3799"
"1800","5927","---","11814","4402"
"1900","5924","---","11007","3301"
"2000","5924","---","11295","3668"
"2100","5926","---","13013","3759"
"2200","5924","---","12662","3695"
"2300","5924","---","12500","3648"
"2400","5927","---","12794","4041"
"2500","5924","---","12691","3869"
"2600","5923","---","12995","3924"
"2700","5925","---","12673","4051"
"2800","5925","---","12670","4397"
"2900","5924","---","12161","4312"
"3000","5923","---","12348","3652"
"3100","5927","---","11694","3605"
"3200","5924","---","14091","3689"
"3300","5924","---","12609","3605"
"3400","5926","---","12366","3882"
