0.45299256;0.418146979;0.45299256;0.494173702;0.543591072;0.60399008;0.67948884;0.776558675;0.679533279;0.639560733;0.604029581;0.572238551;0.543626623;0.604029581;0.679533279;0.776609462;0.724835498;0.679533279;0.604029581;0.572238551;0.543626623;0.517739641;0.494497608;0.472997712
Generationen: 10;Crossover: ox2;C-Rate: 0.8;Mutation: Exchange;M-Rate: 0.6;RouletteWheel-S.;T-Size: ---;Reinsertion-Rate: 0.2;Generation-Gap: 0.2;Selection-Pressure: 1.2;;;;;;;;;;;;;;
Iteration;total duration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;;;;;;;;;;;;;;;;;
1715;28543;28775;118;3;4;2;;;;;;;;;;;;;;;;;
4364;28471;28720;133;5;4;2;;;;;;;;;;;;;;;;;
4378;27919;28645;206;4;4;3;;;;;;;;;;;;;;;;;
49999;27919;28050;93;4;4;2;;;;;;;;;;;;;;;;;
Sat Aug 04 08:00:00 CEST 2018;Sat Aug 04 17:11:28 CEST 2018;;;;;;;;;;;;;;;;;;;;;;
Generationen: 50000;Crossover: ox2;C-Rate: 0.8;Mutation: Exchange;M-Rate: 0.5;RouletteWheel-S.;T-Size: ---;Reinsertion-Rate: 0.2;Generation-Gap: 0.4;Selection-Pressure: 1.2;;;;;;;;;;;;;;
Iteration;total duration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;;;;;;;;;;;;;;;;;
7;34656;36087;638;37;37;5;;;;;;;;;;;;;;;;;
9;33219;35700;800;42;38;5;;;;;;;;;;;;;;;;;
18;32194;34582;931;30;35;2;;;;;;;;;;;;;;;;;
38;32119;33197;566;11;14;6;;;;;;;;;;;;;;;;;
56;31692;32331;382;18;18;7;;;;;;;;;;;;;;;;;
69;31518;32271;597;17;16;4;;;;;;;;;;;;;;;;;
76;31497;31948;261;14;17;4;;;;;;;;;;;;;;;;;
77;31230;31811;309;14;17;4;;;;;;;;;;;;;;;;;
78;30283;31683;424;12;16;5;;;;;;;;;;;;;;;;;
